"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"submitted-batch-07","accessory-tote-ready","Core Tote Ready","Accessories","Accessoires","Uploadbereit","submitted","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/dr-back-logo.png","Tote Bag | Organic Tote | Canvas Tote","Accessoire | Shirtee Ready | Tote","Alltagstauglich, klar gebrandet.","Tote fuer schnellen Shirtee-Upload mit sauberem Frontlogo und reduzierter Hook.","/shop.html#accessoires"
"submitted-batch-07","accessory-mug-ready","Core Mug Ready","Accessories","Accessoires","Uploadbereit","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Mug | Enamel Mug | Gift Set","Accessoire | Shirtee Ready | Mug","Kleinformat mit Wiedererkennung.","Mug-Linie fuer schnelle Bundle-Drops mit ruhiger Typo und klarer Markenpraesenz.","/shop.html#accessoires"
"submitted-batch-07","accessory-poster-ready","Night Poster Ready","Accessories","Accessoires","Uploadbereit","submitted","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-two-hearts.png","Poster | Art Print | Canvas Print","Accessoire | Shirtee Ready | Poster","Visual Drop fuer Booth und Home.","Poster-Artikel fuer schnelle Print-Drops mit dunkler Farbwelt und hoher Lesbarkeit.","/shop.html#accessoires"
"submitted-batch-07","accessory-tote-top","Core Tote Top Upload","Accessories","Accessoires","Top Upload","submitted","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/dr-back-logo.png","Tote Bag | Organic Tote | Canvas Tote","Accessoire | Top Upload | Tote","Einfach, stark, sofort startbar.","Top-Upload-Tote fuer schnelle Store-Erweiterung mit sauberem Frontlogo.","/shop.html#accessoires"
"submitted-batch-07","accessory-cap-top","Snap Cap Top Upload","Accessories","Accessoires","Top Upload","submitted","store-assets/variants/accessory-dr-retro-cap.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/accessory-dr-retro-cap.png","Snapback | Dad Cap | Retro Cap","Accessoire | Top Upload | Cap","Kleinformat mit klarer Marke.","Cap-Variante als schneller Accessoire-Start fuer Herren-, Damen- und Couple-Fits.","/shop.html#accessoires"
"submitted-batch-07","accessory-mug-top","Core Mug Top Upload","Accessories","Accessoires","Top Upload","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Mug | Enamel Mug | Gift Set","Accessoire | Top Upload | Mug","Alltagsteil mit Wiedererkennung.","Mug fuer schnelle Bundle- und Geschenkdrops mit klarer Typo und ruhiger Motivflaeche.","/shop.html#accessoires"
"submitted-batch-07","accessory-poster-neon-top","Neon Poster Top Upload","Accessories","Accessoires","Top Upload","submitted","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-two-hearts.png","Poster | Art Print | Canvas Print","Accessoire | Top Upload | Poster","Visual Impact fuer Booth und Wand.","Poster fuer schnelle Accessoire-Welle mit dunkler Farbwelt und klarer Motivfuehrung.","/shop.html#accessoires"
"submitted-batch-07","accessory-phonecase-core-top","Core Phone Case Top Upload","Accessories","Accessoires","Top Upload","submitted","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/couple-front-two-hearts.png","Phone Case | MagSafe Case | Gift Set","Accessoire | Top Upload | Phone Case","Kleine Flaeche, klares Branding.","Phone-Case-Top-Upload fuer schnelle Bundle-Erweiterung mit hoher Alltagstauglichkeit.","/shop.html#accessoires"
"submitted-batch-07","accessory-sticker-core-top","Core Sticker Pack Top Upload","Accessories","Accessoires","Top Upload","submitted","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/mrs-front-signature.png","Sticker Pack | Mini Sticker Set | Promo Bundle","Accessoire | Top Upload | Sticker","Schnelle Community-Drops mit hoher Reichweite.","Sticker-Pack fuer niedrigschwellige Merch-Einstiege und schnelle Add-ons im Store.","/shop.html#accessoires"
"submitted-batch-07","dr-tank-mainfloor-top","Mainfloor Tank Top Upload","Dr. Gray","Herren","Top Upload","submitted","store-assets/variants/dr-front-bass-im-blut.png","/Users/martendr.gray/Desktop/DJ-Website-Repo/store-assets/variants/dr-front-bass-im-blut.png","Tank Top | Sleeveless | Festival Fit","Herren | Top Upload | Tank","Direkt, dunkel, klar lesbar.","Tank-Variante fuer warme Clubnaechte mit strikter Frontachse und optionalem kleinen Rueckenzeichen.","/shop.html#herren-kollektion"
