"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"ready-batch-03","accessory-mug-ready","Core Mug Ready","Accessories","Accessoires","Uploadbereit","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Mug | Enamel Mug | Gift Set","Accessoire | Shirtee Ready | Mug","Kleinformat mit Wiedererkennung.","Mug-Linie fuer schnelle Bundle-Drops mit ruhiger Typo und klarer Markenpraesenz.","/shop.html#accessoires"
"ready-batch-03","accessory-poster-ready","Night Poster Ready","Accessories","Accessoires","Uploadbereit","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Poster | Art Print | Canvas Print","Accessoire | Shirtee Ready | Poster","Visual Drop fuer Booth und Home.","Poster-Artikel fuer schnelle Print-Drops mit dunkler Farbwelt und hoher Lesbarkeit.","/shop.html#accessoires"
"ready-batch-03","accessory-tote-top","Core Tote Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Tote Bag | Organic Tote | Canvas Tote","Accessoire | Top Upload | Tote","Einfach, stark, sofort startbar.","Top-Upload-Tote fuer schnelle Store-Erweiterung mit sauberem Frontlogo.","/shop.html#accessoires"
"ready-batch-03","accessory-cap-top","Snap Cap Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/accessory-dr-retro-cap.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/accessory-dr-retro-cap.png","Snapback | Dad Cap | Retro Cap","Accessoire | Top Upload | Cap","Kleinformat mit klarer Marke.","Cap-Variante als schneller Accessoire-Start fuer Herren-, Damen- und Couple-Fits.","/shop.html#accessoires"
"ready-batch-03","accessory-mug-top","Core Mug Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Mug | Enamel Mug | Gift Set","Accessoire | Top Upload | Mug","Alltagsteil mit Wiedererkennung.","Mug fuer schnelle Bundle- und Geschenkdrops mit klarer Typo und ruhiger Motivflaeche.","/shop.html#accessoires"
"ready-batch-03","accessory-poster-neon-top","Neon Poster Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Poster | Art Print | Canvas Print","Accessoire | Top Upload | Poster","Visual Impact fuer Booth und Wand.","Poster fuer schnelle Accessoire-Welle mit dunkler Farbwelt und klarer Motivfuehrung.","/shop.html#accessoires"
"ready-batch-03","accessory-phonecase-core-top","Core Phone Case Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Phone Case | MagSafe Case | Gift Set","Accessoire | Top Upload | Phone Case","Kleine Flaeche, klares Branding.","Phone-Case-Top-Upload fuer schnelle Bundle-Erweiterung mit hoher Alltagstauglichkeit.","/shop.html#accessoires"
"ready-batch-03","accessory-sticker-core-top","Core Sticker Pack Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Sticker Pack | Mini Sticker Set | Promo Bundle","Accessoire | Top Upload | Sticker","Schnelle Community-Drops mit hoher Reichweite.","Sticker-Pack fuer niedrigschwellige Merch-Einstiege und schnelle Add-ons im Store.","/shop.html#accessoires"
"ready-batch-03","dr-tank-mainfloor-top","Mainfloor Tank Top Upload","Dr. Gray","Herren","Top Upload","ready","store-assets/variants/dr-front-bass-im-blut.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-bass-im-blut.png","Tank Top | Sleeveless | Festival Fit","Herren | Top Upload | Tank","Direkt, dunkel, klar lesbar.","Tank-Variante fuer warme Clubnaechte mit strikter Frontachse und optionalem kleinen Rueckenzeichen.","/shop.html#herren-kollektion"
"ready-batch-03","dr-shirt-controlgrid-upload","Control Grid Tee Upload","Dr. Gray","Herren","Uploadbereit","ready","store-assets/variants/dr-front-treibend-roh-ehrlich.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-treibend-roh-ehrlich.png","Unisex Tee | Heavy Tee | Premium Tee","Herren | Uploadbereit | Control","Technische Kante fuer den naechsten Batch.","Schnell einsetzbares Tee-Setup fuer Dr.-Gray-Drops mit sauberer Front und ruhiger Rueckenoption.","/shop.html#herren-kollektion"
"ready-batch-03","mrs-dress-nightline-top","Nightline Dress Top Upload","Mrs. Dr. Gray","Damen","Top Upload","ready","store-assets/variants/mrs-dress-front-liebe-lauter.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-dress-front-liebe-lauter.png","Dress | Bodycon Dress | Club Dress","Damen | Top Upload | Dress","Selbstbewusst, clubnah und klar gefuehrt.","Dress-Linie mit Mrs.-Fokus, cleaner Front und seriös-frecher Wirkung fuer Event- und Night-Fits.","/shop.html#damen-kollektion"
"ready-batch-03","mrs-crop-heartline-top","Heartline Crop Top Upload","Mrs. Dr. Gray","Damen","Top Upload","ready","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-liebe-lauter.png","Crop Top | Fitted Tee | Light Hoodie","Damen | Top Upload | Crop","Frech, feminin und ohne Kitsch.","Crop-Setup fuer schnelle Drop-Wellen mit klarer Mrs.-Praesenz und sauberer Typo-Hierarchie.","/shop.html#damen-kollektion"
"ready-batch-03","mrs-hoodie-signal-ready","Signal Hoodie Upload","Mrs. Dr. Gray","Damen","Uploadbereit","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Unisex Hoodie | Women Hoodie | Zip Hoodie","Damen | Uploadbereit | Hoodie","Mrs.-Lead mit dunklem Premium-Fit.","Uploadbereiter Hoodie mit starker Frontwirkung und ruhiger Backprint-Option fuer naechste Drops.","/shop.html#damen-kollektion"
"ready-batch-03","couple-hoodie-symmetry-top","Symmetry Hoodie Top Upload","Couple","Couple","Top Upload","ready","store-assets/variants/couple-front-verheiratet.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-verheiratet.png","Couple Hoodie | Unisex Hoodie | Zip Hoodie","Couple | Top Upload | Symmetry","Beide Logos, eine Achse.","Couple-Hoodie mit gleicher Logo-Hoehe und klarer Front-/Rueckenlogik fuer den naechsten Live-Drop.","/shop.html#couple-edition"
"ready-batch-03","couple-tee-rhythm-ready","One Rhythm Tee Upload","Couple","Couple","Uploadbereit","ready","store-assets/variants/couple-front-two-hearts.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/couple-front-two-hearts.png","Couple Tee | 2er Set | Premium Tee","Couple | Uploadbereit | Tee","Emotional, aber klar in der Szene.","Couple-Tee fuer schnellere Uploads mit sauberer Typo und nachvollziehbarer Druckflaechenlogik.","/shop.html#couple-edition"
"ready-batch-03","unisex-tee-cleanfront-top","Clean Front Tee Top Upload","Unisex","Unisex","Top Upload","ready","store-assets/variants/dr-back-logo.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-back-logo.png","Unisex Tee | Premium Tee | Heavy Tee","Unisex | Top Upload | Front Clean","Vorne ruhig, hinten waehlbar.","Top-Upload-Unisex-Tee mit cleaner Front und optionalem Dr.- oder Mrs.-Backprint fuer modulare Releases.","/shop.html#unisex-drop"
"ready-batch-03","unisex-hoodie-backprint-ready","Backprint Choice Hoodie","Unisex","Unisex","Uploadbereit","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Unisex Hoodie | Zip Hoodie | Sweatshirt","Unisex | Uploadbereit | Backprint","Ein Frontlook, zwei Rueckenwege.","Uploadbereiter Unisex-Hoodie mit klarer Front und optionalem Backprint je nach Linie.","/shop.html#unisex-drop"
"ready-batch-03","unisex-sweat-core-upload","Core Sweat Upload","Unisex","Unisex","Uploadbereit","ready","store-assets/variants/dr-front-kein-mainstream.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/dr-front-kein-mainstream.png","Sweatshirt | Crewneck | Heavy Sweat","Unisex | Uploadbereit | Core","Everyday Piece mit sauberer Linie.","Unisex-Sweatshirt fuer breite Groessenspannen und klare Front-/Rueckenlogik ohne visuelle Brueche.","/shop.html#unisex-drop"
"ready-batch-03","accessory-beanie-nightcore-top","Nightcore Beanie Top Upload","Accessories","Accessoires","Top Upload","ready","store-assets/variants/accessory-dr-retro-cap.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/accessory-dr-retro-cap.png","Beanie | Rib Beanie | Winter Set","Accessoire | Top Upload | Beanie","Kleines Branding, klare Linie.","Beanie fuer kalte Clubnaechte mit ruhigem Frontlogo und starker Kombinierbarkeit.","/shop.html#accessoires"
"ready-batch-03","accessory-bottle-raveflow-ready","Raveflow Bottle Upload","Accessories","Accessoires","Uploadbereit","ready","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Bottle | Thermo Bottle | Gift Bundle","Accessoire | Uploadbereit | Bottle","Hydration trifft Brandcode.","Bottle-Linie als praktisches Community-Piece fuer Eventtage, Reisen und Studioeinsaetze.","/shop.html#accessoires"
