"batch","id","title","line","section","catalog_status","upload_state","image_repo_path","image_absolute_path","products","tags","slogan","copy","target_href"
"pending-batch-02","mrs-shirt-love-runs","Liebe lauter Longsleeve","Mrs. Dr. Gray","Damen","Geplant","pending","store-assets/variants/mrs-dress-front-liebe-lauter.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-dress-front-liebe-lauter.png","Longsleeve | Light Hoodie | Soft Tee","Damen | Longsleeve | Melodic","Weicher Ton, starke Wirkung.","Langarmshirt und leichter Hoodie fuer melodischere Bilder, aber weiter klar in der Szene verankert.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-crop-love","Liebe lauter Crop","Mrs. Dr. Gray","Damen","Geplant","pending","store-assets/variants/mrs-front-liebe-lauter.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-liebe-lauter.png","Crop Shirt | Soft Crop | Summer Top","Damen | Crop | Melodic","Weicher im Wort, stark in der Wirkung.","Crop mit melodischerem Spruch fuer die weichere Mrs.-Linie. Passt zu Clubfotos, Story-Posts und eleganteren Fits.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-hoodie-wild","Zu wild fuer leise Hoodie","Mrs. Dr. Gray","Damen","Prioritaet","pending","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-zu-wild.png","Hoodie | Oversize Hoodie | Soft Zip","Damen | Hoodie | Frech","Die frechere Hoodie-Variante fuer kalte Naechte.","Front clean, Logo dominant und kein visuelles Durcheinander. Funktioniert fuer Damen-Hoodie und weicheren Oversize-Fit.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-shirt-signature","Mrs. Dr. Gray Signature Tee","Mrs. Dr. Gray","Damen","Geplant","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Tee | Fitted Tee | Clean Top","Damen | Signature | Minimal","Nur Marke, nur Haltung, null Spielerei.","Ein klares Shirt fuer die starke Logo-Linie. Perfekt fuer den direkten Wiedererkennungseffekt ohne weiteren Bildlärm.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-shirt-afterhour","Afterhour Attitude Tee","Mrs. Dr. Gray","Damen","Konzept","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Tee | Longsleeve | Layer Top","Damen | Afterhour | Attitude","Zu spaet fuer brav, zu echt fuer Plastik.","Ein Statement-Piece fuer die frechere Damen-Seite, mit klarer Typo und reduzierter Form.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-portrait-tee-bw","Mrs. Portrait BW Tee","Mrs. Dr. Gray","Damen","In Vorbereitung","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Signature Tee | Crop Shirt | Soft Longsleeve","Damen | Portrait | Signature","Selbstbewusst, reduziert, klar im Blick.","Das Motiv arbeitet mit starkem Portraitfokus und wenig Ablenkung. Ideal fuer Signature-Tees, Crops und cleanere Event-Fits der Damen-Linie.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-crop-playful-control","Playful Control Crop","Mrs. Dr. Gray","Damen","In Vorbereitung","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Crop Shirt | Fitted Tee | Soft Hoodie","Damen | Crop | Mrs.-Fokus","Frech im Hook, sauber in der Linie.","Crop mit dominantem Mrs.-Logo und schmaler Claim-Zeile. Der Look bleibt sexy-serioes und sitzt stark auf Clubfotos und Night-Reels.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-bodysuit-signal","Signal Bodysuit","Mrs. Dr. Gray","Damen","Geplant","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Bodysuit | Fitted Top | Club Layer","Damen | Bodysuit | Mrs.-Logo","Sexy-serioes und klar im Clubprofil.","Mrs.-Logo als starke Hauptfigur auf reduzierter Front. Das Piece bleibt selbstbewusst, weiblich und null beliebig.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-zip-command","Command Zip Hoodie","Mrs. Dr. Gray","Damen","Geplant","pending","store-assets/variants/mrs-front-zu-wild.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-zu-wild.png","Zip Hoodie | Crop Zip | Soft Oversize","Damen | Zip | Selbstbewusst","Feminin im Schnitt, klar in der Haltung.","Zip-Hoodie fuer die dunklere Damen-Linie mit sauberem Frontzeichen und ruhiger Backprint-Option fuer Night-Reels und Event-Looks.","/shop.html#damen-kollektion"
"pending-batch-02","mrs-tee-clubqueen","Club Queen Signature Tee","Mrs. Dr. Gray","Damen","In Vorbereitung","pending","store-assets/variants/mrs-front-signature.png","/Users/martendr.gray/Documents/New project/DJ-Website/store-assets/variants/mrs-front-signature.png","Signature Tee | Fitted Tee | Light Longsleeve","Damen | Signature | Club","Frech in der Message, sauber im Build.","Signature-Tee fuer die frechere Mrs.-Achse. Kein Ueberladen, nur starke Typo, klare Mitte und praezise Logo-Hoehe.","/shop.html#damen-kollektion"
